variant	heuristic	rep	outcome	derivcheck_started	derivcheck_ended	proof_search_started	numeric_derivcheck_s	numeric_main_s	total_s	phase_status
C	s	1	VERIFIED	yes	yes	yes	NA	NA	62.30	DERIVCHECK_COMPLETE_PROOF_SEARCH_STARTED
A	s	1	TIMEOUT	yes	yes	no	NA	NA	300.10	DERIVCHECK_COMPLETE_PROOF_START_NOT_OBSERVED
C	S	1	TIMEOUT	yes	yes	no	NA	NA	300.37	DERIVCHECK_COMPLETE_PROOF_START_NOT_OBSERVED
A	S	1	TIMEOUT	yes	yes	no	NA	NA	300.11	DERIVCHECK_COMPLETE_PROOF_START_NOT_OBSERVED
C	c	1	TIMEOUT	yes	yes	no	NA	NA	300.39	DERIVCHECK_COMPLETE_PROOF_START_NOT_OBSERVED
A	c	1	TIMEOUT	yes	yes	no	NA	NA	299.70	DERIVCHECK_COMPLETE_PROOF_START_NOT_OBSERVED
C	C	1	TIMEOUT	yes	yes	no	NA	NA	299.59	DERIVCHECK_COMPLETE_PROOF_START_NOT_OBSERVED
A	C	1	TIMEOUT	yes	yes	no	NA	NA	298.53	DERIVCHECK_COMPLETE_PROOF_START_NOT_OBSERVED
C	p	1	ERROR	yes	yes	no	NA	NA	2.14	INVALID_HEURISTIC_BEFORE_MAIN_PROOF
A	p	1	ERROR	yes	yes	no	NA	NA	3.63	INVALID_HEURISTIC_BEFORE_MAIN_PROOF
C	s	2	VERIFIED	yes	yes	yes	NA	NA	58.40	DERIVCHECK_COMPLETE_PROOF_SEARCH_STARTED
A	s	2	TIMEOUT	yes	yes	no	NA	NA	297.81	DERIVCHECK_COMPLETE_PROOF_START_NOT_OBSERVED
C	S	2	TIMEOUT	yes	yes	no	NA	NA	297.22	DERIVCHECK_COMPLETE_PROOF_START_NOT_OBSERVED
A	S	2	TIMEOUT	yes	yes	no	NA	NA	298.07	DERIVCHECK_COMPLETE_PROOF_START_NOT_OBSERVED
C	c	2	TIMEOUT	yes	yes	no	NA	NA	295.63	DERIVCHECK_COMPLETE_PROOF_START_NOT_OBSERVED
A	c	2	TIMEOUT	yes	yes	no	NA	NA	296.43	DERIVCHECK_COMPLETE_PROOF_START_NOT_OBSERVED
C	C	2	TIMEOUT	yes	yes	no	NA	NA	294.87	DERIVCHECK_COMPLETE_PROOF_START_NOT_OBSERVED
A	C	2	TIMEOUT	yes	yes	no	NA	NA	295.39	DERIVCHECK_COMPLETE_PROOF_START_NOT_OBSERVED
C	p	2	ERROR	yes	yes	no	NA	NA	2.43	INVALID_HEURISTIC_BEFORE_MAIN_PROOF
A	p	2	ERROR	yes	yes	no	NA	NA	3.64	INVALID_HEURISTIC_BEFORE_MAIN_PROOF
C	s	3	VERIFIED	yes	yes	yes	NA	NA	57.97	DERIVCHECK_COMPLETE_PROOF_SEARCH_STARTED
A	s	3	TIMEOUT	yes	yes	no	NA	NA	295.21	DERIVCHECK_COMPLETE_PROOF_START_NOT_OBSERVED
C	S	3	TIMEOUT	yes	yes	no	NA	NA	295.49	DERIVCHECK_COMPLETE_PROOF_START_NOT_OBSERVED
A	S	3	TIMEOUT	yes	yes	no	NA	NA	294.75	DERIVCHECK_COMPLETE_PROOF_START_NOT_OBSERVED
C	c	3	TIMEOUT	yes	yes	no	NA	NA	295.34	DERIVCHECK_COMPLETE_PROOF_START_NOT_OBSERVED
A	c	3	TIMEOUT	yes	yes	no	NA	NA	294.97	DERIVCHECK_COMPLETE_PROOF_START_NOT_OBSERVED
C	C	3	TIMEOUT	yes	yes	no	NA	NA	294.96	DERIVCHECK_COMPLETE_PROOF_START_NOT_OBSERVED
A	C	3	TIMEOUT	yes	yes	no	NA	NA	294.78	DERIVCHECK_COMPLETE_PROOF_START_NOT_OBSERVED
C	p	3	ERROR	yes	yes	no	NA	NA	2.17	INVALID_HEURISTIC_BEFORE_MAIN_PROOF
A	p	3	ERROR	yes	yes	no	NA	NA	3.17	INVALID_HEURISTIC_BEFORE_MAIN_PROOF
