variant	heuristic	rep	outcome	wall_s	rss_kb	rc	tamarin_version	oom_kill_delta
C	s	1	VERIFIED	62.30	1056856	0	1.12.0	NA
A	s	1	TIMEOUT	300.10	5012416	124	1.12.0	NA
C	S	1	TIMEOUT	300.37	21481772	124	1.12.0	NA
A	S	1	TIMEOUT	300.11	5395284	124	1.12.0	NA
C	c	1	TIMEOUT	300.39	23155576	124	1.12.0	NA
A	c	1	TIMEOUT	299.70	5169028	124	1.12.0	NA
C	C	1	TIMEOUT	299.59	8624004	124	1.12.0	NA
A	C	1	TIMEOUT	298.53	5237628	124	1.12.0	NA
C	p	1	ERROR	2.14	38252	1	1.12.0	NA
A	p	1	ERROR	3.63	38568	1	1.12.0	NA
A	s	2	TIMEOUT	297.81	5129104	124	1.12.0	NA
C	s	2	VERIFIED	58.40	1065364	0	1.12.0	NA
A	S	2	TIMEOUT	298.07	5387128	124	1.12.0	NA
C	S	2	TIMEOUT	297.22	22254468	124	1.12.0	NA
A	c	2	TIMEOUT	296.43	5019500	124	1.12.0	NA
C	c	2	TIMEOUT	295.63	22472620	124	1.12.0	NA
A	C	2	TIMEOUT	295.39	5408620	124	1.12.0	NA
C	C	2	TIMEOUT	294.87	8344444	124	1.12.0	NA
A	p	2	ERROR	3.64	38580	1	1.12.0	NA
C	p	2	ERROR	2.43	37096	1	1.12.0	NA
C	s	3	VERIFIED	57.97	1340684	0	1.12.0	NA
A	s	3	TIMEOUT	295.21	5132220	124	1.12.0	NA
C	S	3	TIMEOUT	295.49	23882580	124	1.12.0	NA
A	S	3	TIMEOUT	294.75	5101412	124	1.12.0	NA
C	c	3	TIMEOUT	295.34	24003568	124	1.12.0	NA
A	c	3	TIMEOUT	294.97	5108624	124	1.12.0	NA
C	C	3	TIMEOUT	294.96	8458180	124	1.12.0	NA
A	C	3	TIMEOUT	294.78	5335932	124	1.12.0	NA
C	p	3	ERROR	2.17	40000	1	1.12.0	NA
A	p	3	ERROR	3.17	39556	1	1.12.0	NA
